Type,Date,Case,Latitude,Longtitude
피습 사건,1962-09-06,비무장지대 발표 사건,37.9556099992588,126.676601006326
피습 사건,1962-11-20,비무장지대 미군피살 사건,37.9556099992588,126.676601006326
피습 사건,1962-12-23,북괴함정 침범 사건,37.6651915483657,125.702047674071
피습 사건,1963-03-13,북괴의 풍선폭발물 사건,36.9922987648024,127.112525334603
피습 사건,1963-03-19,북괴군 월경 사건,37.9691945981238,126.779573951463
피습 사건,1963-05-17,미군 헬리곱터 강제불시착 사건,38.2661937661707,127.09632923635
피습 사건,1963-07-29,휴전선 남방 기습 사건,38.2661937661707,127.09632923635
피습 사건,1963-07-30,파주 무장간첩 사건,37.7600286711113,126.779919878758
피습 사건,1963-08-03,"북괴군, 미군과 충격전",37.9691945981238,126.779573951463
피습 사건,1963-08-05,북괴의 수류탄공격 사건,37.9556099992588,126.676601006326
피습 사건,1964-01-14,F-86 D 전투기 피격 사건,37.9556099992588,126.676601006326
피습 사건,1964-03-20,어선납북 사건,37.9603420103034,124.674942791936
피습 사건,1964-08-10,무장간첩선 침투 사건,34.7937750577663,128.382057683559
피습 사건,1964-09-19,무장간첩 침투 사건,38.109986189064,127.989945522474
피습 사건,1964-11-14,휴전선남방 무장간첩 침투 사건,,
피습 사건,1965-03-05,무장간첩선 침투 사건,37.4498744683541,129.165621734832
피습 사건,1965-04-26,어선납북 사건,37.6651915483657,125.702047674071
피습 사건,1965-05-18,미 L-19 정찰기 피격 사건,37.9556099992588,
피습 사건,1965-07-18,무장간첩 침투 사건,37.734997519415,126.980031330233
피습 사건,1965-08-22,무장공비 사건,38.1287722459322,128.325543985461
피습 사건,1965-09-27,무장간첩 사건,36.5681878023317,128.730260547553
피습 사건,1965-10-24,김두표중령 일가 피살 사건,38.109986189064,127.989945522474
피습 사건,1965-10-29,어선납북 사건,37.6989887300572,126.447154040669
피습 사건,1966-05-17,무장간첩 침투 사건,35.1802432613252,128.108822830868
피습 사건,1966-07-29,어선단 포격 사건,37.5261722483585,129.122350295165
피습 사건,1966-09-01,무장간첩 침투 사건,37.5324416397205,126.868422907741
피습 사건,1966-09-07,고정간첩단 사건,,
피습 사건,1966-10-10,간첩선 침투 사건,37.4677147637857,130.838096350954
피습 사건,1966-10-21,식사운반트럭 피습 사건,37.9691945981238,126.779573951463
피습 사건,1966-11-02,비무장지대 기습도발 사건,,
피습 사건,1967-01-19,해군 56함 피격 사건,37.5261722483585,129.122350295165
피습 사건,1967-04-05,관문각 침범 사건,37.5816745310255,126.978889955558
피습 사건,1967-04-11,무장간첩 침투 사건,37.9691945981238,126.779573951463
피습 사건,1967-04-12,비무장지대 북괴군 침입 사건,38.2069908081134,127.662292934064
피습 사건,1967-04-17,해안간첩 사건,35.7984643835416,129.23851483698
피습 사건,1967-05-17,무진간첩단 사건,,
피습 사건,1967-05-22,미군 폭사 사건,37.9691945981238,126.779573951463
피습 사건,1967-05-27,어선 총격 사건,37.6651915483657,125.702047674071
