Type,Date,Case,Latitude,Longtitude
오물풍선,2024-07-19,Eighth Wave,38.00083592,127.3447025
오물풍선,2024-07-18,Eighth Wave,38.13149673,127.1947871
오물풍선,2024-07-18,Eighth Wave,37.7197323,126.9423338
오물풍선,2024-07-18,Eighth Wave,37.81704644,127.0433082
오물풍선,2024-07-18,Eighth Wave,37.89732366,126.831396
오물풍선,2024-07-18,Eighth Wave,37.74310391,127.0812471
오물풍선,2024-07-18,Eighth Wave,37.47708349,126.7974016
오물풍선,2024-07-21,Ninth Wave,37.57258455,127.0705652
오물풍선,2024-07-21,Ninth Wave,38.04166814,126.9768902
오물풍선,2024-07-21,Ninth Wave,37.92600776,127.1126557
오물풍선,2024-07-21,Ninth Wave,37.6050853,127.1969754
오물풍선,2024-07-21,Ninth Wave,37.913542,127.1381033
오물풍선,2024-07-21,Ninth Wave,37.7933321,127.0752929
오물풍선,2024-07-21,Ninth Wave,37.87810132,127.0738515
오물풍선,2024-07-21,Ninth Wave,37.68386669,126.8192169
오물풍선,2024-07-21,Ninth Wave,37.68593719,127.2882531
오물풍선,2024-07-21,Ninth Wave,37.89322974,126.9324178
오물풍선,2024-07-21,Ninth Wave,37.7571009,127.0592475
오물풍선,2024-07-24,Tenth Wave,37.70896836,127.0688661
오물풍선,2024-07-24,Tenth Wave,37.53195349,126.9148413
오물풍선,2024-07-24,Tenth Wave,37.56680601,126.9396595
오물풍선,2024-07-24,Tenth Wave,37.53057022,126.9841318
오물풍선,2024-07-24,Tenth Wave,37.56073929,126.8025631
오물풍선,2024-07-24,Tenth Wave,37.53132701,126.9763123
오물풍선,2024-07-24,Tenth Wave,37.72514613,126.8595748
오물풍선,2024-08-12,Eleventh Wave,37.80529988,126.7100999
오물풍선,2024-08-10,Eleventh Wave,37.53371629,126.737631
오물풍선,2024-08-10,Eleventh Wave,37.53226025,126.7458785
오물풍선,2024-06-02,Second Wave,37.48617268,127.0947471
오물풍선,2024-07-24,Tenth Wave,37.64530576,127.053329
오물풍선,2024-07-24,Tenth Wave,37.56719992,126.9726261
오물풍선,2024-09-05,Twelfth Wave,37.53295825,126.920829
오물풍선,2024-09-05,Thirteenth Wave,37.56069315,127.2443669
오물풍선,2024-09-05,Twelfth Wave,37.50456089,127.5746568
오물풍선,2024-09-05,Twelfth Wave,37.30377689,127.4948548
오물풍선,2024-09-04,Twelfth Wave,37.7848234,126.7917503
오물풍선,2024-09-04,Twelfth Wave,37.77611321548565,128.9234812343975
오물풍선,2024-09-04,Twelfth Wave,37.76328771,128.2425113
오물풍선,2024-09-04,Twelfth Wave,37.53339036,128.060855
오물풍선,2024-09-04,Twelfth Wave,38.10106011,128.2618422
오물풍선,2024-09-04,Twelfth Wave,38.10106011,128.2618422
오물풍선,2024-09-09,Seventeenth Wave,37.77842402,126.9005473
오물풍선,2024-09-08,Sixteenth Wave,37.50275674,126.7295103
오물풍선,2024-09-07,Fifteenth Wave,37.50262487,126.7373826
오물풍선,2024-09-07,Fifteenth Wave,37.77943968,127.6409752
오물풍선,2024-09-06,Fourteenth Wave,37.75418696,127.1828527
오물풍선,2024-09-06,Fourteenth Wave,37.46963321,126.7164187
오물풍선,2024-09-06,Fourteenth Wave,37.54218308,126.7820175
오물풍선,2024-09-06,Fourteenth Wave,37.50300349,126.9751871
오물풍선,2024-09-05,Thirteenth Wave,37.59863271,126.753557
오물풍선,2024-10-04,Twenty-fourth Wave,37.65487971,127.1475697
오물풍선,2024-09-22,Twenty-second Wave,37.48135602,126.6575126
오물풍선,2024-09-22,Twenty-second Wave,37.50744874,126.7230077
오물풍선,2024-09-22,Twenty-second Wave,37.458726,126.442676
오물풍선,2024-09-22,Twenty-second Wave,37.53457358,126.9773664
오물풍선,2024-10-02,Twenty-third Wave,37.57275792,126.9768125
오물풍선,2024-10-02,Twenty-third Wave,37.50189412,126.7351138
오물풍선,2024-10-04,Twenty-fourth Wave,37.54422725,126.8039427
오물풍선,2024-10-04,Twenty-fourth Wave,37.57544692,126.9801398
오물풍선,2024-10-04,Twenty-fourth Wave,37.53184395,126.9146295
오물풍선,2024-10-24,Thirtieth Wave,37.5332542,126.9861956
오물풍선,2024-11-18,Thirty-first Wave,37.534396,126.977707
오물풍선,2024-11-18,Thirty-first Wave,37.532068,126.914541
